        时间          AD值     mor值    发射机温度    发射机湿度   接收机温度  接收机湿度 
2017/01/06 17:21:30    4601       524          18           28            21          19
2017/01/06 17:21:30    249       524          18           28            21          19
2017/01/06 17:21:30    4601       12          242           35            165          52
2017/01/06 17:21:30    4601       12          242           35            165          52
2017/01/06 17:21:31    4601       12          242           35            21          19
2017/01/06 17:21:31    4601       12          242           28            21          19
2017/01/06 17:21:31    4601       12          18           28            21          19
2017/01/06 17:21:31    4601       58108          18           28            21          19
2017/01/06 17:21:31    4601       524          18           28            21          19
2017/01/06 17:21:31    249       524          18           28            21          19
2017/01/06 17:21:31    4601       12          242           35            165          52
2017/01/06 17:21:31    4601       12          242           35            165          52
2017/01/06 17:21:31    4601       12          242           35            21          19
2017/01/06 17:21:32    4601       12          242           28            21          19
2017/01/06 17:21:32    4601       12          18           28            21          19
2017/01/06 17:21:32    4601       58108          18           28            21          19
2017/01/06 17:21:32    4601       524          18           28            21          19
2017/01/06 17:21:32    249       524          18           28            21          19
2017/01/06 17:21:32    4601       12          242           35            165          52
2017/01/06 17:21:32    4601       12          242           35            165          52
2017/01/06 17:21:32    4601       12          242           35            21          19
2017/01/06 17:21:32    4601       12          242           28            21          19
2017/01/06 17:21:33    4601       12          18           28            21          19
2017/01/06 17:21:33    4601       58108          18           28            21          19
2017/01/06 17:21:33    4601       524          18           28            21          19
2017/01/06 17:21:33    249       524          18           28            21          19
2017/01/06 17:21:33    4601       12          242           35            165          52
2017/01/06 17:21:33    4601       12          242           35            165          52
2017/01/06 17:21:33    4601       12          242           35            21          19
2017/01/06 17:21:33    4601       12          242           28            21          19
2017/01/06 17:21:34    4601       12          18           28            21          19
2017/01/06 17:21:34    4601       58108          18           28            21          19
2017/01/06 17:21:34    4601       524          18           28            21          19
2017/01/06 17:21:34    249       524          18           28            21          19
2017/01/06 17:21:34    4601       12          242           35            165          52
2017/01/06 17:21:34    4601       12          242           35            165          52
2017/01/06 17:21:34    4601       12          242           35            21          19
